Country,Rank,Account,Title,Link,Category,Followers (x1000000),Audience Country,Scraped
All,1,cristiano,Cristiano Ronaldo,https://www.instagram.com/cristiano/,Sports with a ball,400.1,Europe,50:24.8
All,2,kyliejenner,Kylie 🤍,https://www.instagram.com/kyliejenner/,Fashion|Modeling|Beauty,308.8,Europe,50:24.8
All,3,leomessi,Leo Messi,https://www.instagram.com/leomessi/,Sports with a ball|Family,306.3,Europe,50:24.8
All,4,kendalljenner,Kendall,https://www.instagram.com/kendalljenner/,Modeling|Fashion,217.8,Europe,50:24.8
All,5,selenagomez,Selena Gomez,https://www.instagram.com/selenagomez/,Music|Lifestyle,295.8,Europe,50:24.8
All,6,zendaya,Zendaya,https://www.instagram.com/zendaya/,Cinema|Actors/actresses|Fashion,127.8,Europe,50:24.8
All,7,kimkardashian,Kim Kardashian West,https://www.instagram.com/kimkardashian/,Fashion|Beauty,284.9,Europe,50:24.8
All,8,beyonce,Beyoncé,https://www.instagram.com/beyonce/,Music|Fashion,237.2,Europe,50:24.8
All,9,arianagrande,Ariana Grande,https://www.instagram.com/arianagrande/,Music,294.1,Europe,50:24.8
All,10,billieeilish,BILLIE EILISH,https://www.instagram.com/billieeilish/,Music,100,Europe,50:24.8
All,11,neymarjr,NJ 🇧🇷,https://www.instagram.com/neymarjr/,Sports with a ball,169.8,Europe,50:24.8
All,12,lalalalisa_m,LISA,https://www.instagram.com/lalalalisa_m/,Music,73.1,Europe,50:24.8
All,13,jennierubyjane,J,https://www.instagram.com/jennierubyjane/,Music,62.3,Europe,50:24.8
All,14,tomholland2013,Tom Holland,https://www.instagram.com/tomholland2013/,Cinema|Actors/actresses,60.9,Europe,50:24.8
All,15,virat.kohli,Virat Kohli,https://www.instagram.com/virat.kohli/,Sports with a ball,182.6,Europe,50:24.8
All,16,abcdefghi__lmnopqrstuvwxyz,Jungkook,https://www.instagram.com/abcdefghi__lmnopqrstuvwxyz/,,32.1,Europe,50:24.8
All,17,khaby00,Khaby Lame,https://www.instagram.com/khaby00/,,69.2,Europe,50:24.8
All,18,khloekardashian,Khloé Kardashian,https://www.instagram.com/khloekardashian/,Clothing|Outfits|Lifestyle,219.4,Europe,50:24.8
All,19,sooyaaa__,JISOO🤍,https://www.instagram.com/sooyaaa__/,Music|Beauty,56.1,Europe,50:24.8
All,20,justinbieber,Justin Bieber,https://www.instagram.com/justinbieber/,Music,219.8,Europe,50:24.8
All,21,thv,V,https://www.instagram.com/thv/,,34.1,Europe,50:24.8
All,22,roses_are_rosie,ROSÉ,https://www.instagram.com/roses_are_rosie/,Music,55.1,Europe,50:24.8
All,23,badgalriri,badgalriri,https://www.instagram.com/badgalriri/,Music|Beauty,120.9,Europe,50:24.8
All,24,nickiminaj,Barbie,https://www.instagram.com/nickiminaj/,Music,174,Europe,50:24.8
All,25,iamcardib,Cardi B,https://www.instagram.com/iamcardib/,Music|Fashion,123.1,Europe,50:24.8
All,26,jin,Jin of BTS,https://www.instagram.com/jin/,,28.4,Europe,50:24.8
All,27,agustd,SUGA of BTS 민윤기,https://www.instagram.com/agustd/,,27.9,Europe,50:24.8
All,28,therock,therock,https://www.instagram.com/therock/,Cinema|Actors/actresses|Fitness|Gym,295.8,Europe,50:24.8
All,29,instagram,Instagram,https://www.instagram.com/instagram/,Photography,469.6,Europe,50:24.8
All,30,zayn,Zayn Malik,https://www.instagram.com/zayn/,Music,44.5,Europe,50:24.8
All,31,champagnepapi,champagnepapi,https://www.instagram.com/champagnepapi/,Music,102.6,Europe,50:24.8
All,32,rkive,RM,https://www.instagram.com/rkive/,,28,Europe,50:24.8
All,33,kourtneykardash,Kourtney ❤️,https://www.instagram.com/kourtneykardash/,Lifestyle,162.2,Europe,50:24.8
All,34,uarmyhope,jhope,https://www.instagram.com/uarmyhope/,,28.5,Europe,50:24.8
All,35,badbunnypr,,https://www.instagram.com/badbunnypr/,Music,37.8,Europe,50:24.8
All,36,katrinakaif,Katrina Kaif,https://www.instagram.com/katrinakaif/,Beauty,61.6,Europe,50:24.8
All,37,adele,Adele,https://www.instagram.com/adele/,Music,49.1,Europe,50:24.8
All,38,harrystyles,,https://www.instagram.com/harrystyles/,Music|Fashion,43,Europe,50:24.8
All,39,kingjames,👑,https://www.instagram.com/kingjames/,Sports with a ball,111.4,Europe,50:24.8
All,40,jlo,Jennifer Lopez,https://www.instagram.com/jlo/,Music|Cinema|Actors/actresses,194.9,Europe,50:24.8
All,41,k.mbappe,Kylian Mbappé,https://www.instagram.com/k.mbappe/,Sports with a ball,65.8,Europe,50:24.8
All,42,karolg,KAROL G,https://www.instagram.com/karolg/,Music,47.3,Europe,50:24.8
All,43,gigihadid,Gigi Hadid,https://www.instagram.com/gigihadid/,Modeling|Lifestyle,72.3,Europe,50:24.8
All,44,anushkasharma,AnushkaSharma1588,https://www.instagram.com/anushkasharma/,Cinema|Actors/actresses,56.9,Europe,50:24.8
All,45,narendramodi,Narendra Modi,https://www.instagram.com/narendramodi/,Finance|Economics|Business|Careers,65.3,Europe,50:24.8
All,46,eunwo.o_c,차은우,https://www.instagram.com/eunwo.o_c/,Music|Lifestyle,26.5,Europe,50:24.8
All,47,dualipa,DUA LIPA,https://www.instagram.com/dualipa/,Music,78.7,Europe,50:24.8
All,48,charlidamelio,cd,https://www.instagram.com/charlidamelio/,Lifestyle|Shows,47.1,Europe,50:24.8
All,49,ester_exposito,Ester 🌙,https://www.instagram.com/ester_exposito/,Cinema|Actors/actresses,29,Europe,50:24.8
All,50,mileycyrus,Miley Cyrus,https://www.instagram.com/mileycyrus/,Music,160.2,Europe,50:24.8
